resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 54565248, 'resource_state': 1}",Ochtendloop,4044.9,1449,1459,20.0,Run,Run,,16102124980,2025-10-11 06:56:15+00:00,2025-10-11T08:56:15Z,(GMT+01:00) Europe/Amsterdam,7200.0,,,,0,11,0,1,0,"{'id': 'a16102124980', 'summary_polyline': 'uwpxHaduSD?xAjAVLx@p@fAt@LNVd@Nb@Hd@ZpAJr@Bb@ZpCH`@Hp@FR@`@Cz@Gl@Ol@]dAs@rAWn@{@hBIL[Z_@VWHQ@k@Ak@Ik@Sg@g@Oa@Ye@IAIDo@r@i@\\E?OHEJ?FFt@Lh@PtARt@Dd@Pp@@FCPIJKBo@Gm@MMKg@CKGsAQYGSCYIM?YGmAWM@o@GYKg@GMG_@Ak@REAI@[Ei@_@m@k@GIUm@Os@Wk@Oi@MSGYk@_ECe@ScAU}@c@aDImAMiDM_AOs@}@aC[eBI}@Ks@c@kBUwAS_@u@gDE_@Eu@GmBI{@GqBOeASo@E]Ok@Gg@u@kDEm@k@sAOw@K]C]Ai@BOFIv@Yd@i@^Wz@_AHEPFHGDSFK^AJIF?\\d@DPOa@QSI?@JPTVr@`@vAn@bBlAfEr@pBJb@`AlCnAjEt@vBXhAz@fC`@zAh@~AJ^h@vA`AxCHIFU^s@lAgBf@c@dA}Af@_@HMN_@FGTTP\\NPPZd@h@THRTTJJNLFJJJNJHXXl@Zh@f@', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.372911, 3.390254]","[51.373072, 3.390388]",2.792,3.52,True,151.1,169.0,False,True,18.0,1.6,17185068113,17185068113,garmin_ping_489657976905,False,0,0,False,87.1,346.6,471.0,346.0,True,504.6
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,6523.6,2238,2238,7.0,Run,Run,,16075563879,2025-10-08 14:35:05+00:00,2025-10-08T16:35:05Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,14,0,1,0,"{'id': 'a16075563879', 'summary_polyline': 'imovHak~ZBIK}BFe@H[NYr@{@f@u@z@cAn@_AJKD]DKf@Un@a@HCHFHR\\pB@\\RbBJzDZlCN`AFx@JtEEpA?~BB~BLdDDxBLzCBfB@~DFbFE`EFj@DDHANOd@YxAiAf@YNO~BcBDAb@Yj@e@d@YXWjBiAZ[|AeAr@m@~AaAf@a@LG~@s@NQb@Yz@c@PO|Ay@NOj@YFINg@n@wAn@gAfBk@`AS\\Qn@KRKj@Qz@M~@QXAHCfAOd@@^Oh@Eh@KVANI^@TC^KN?^ITABCLSF]ZeAL}@n@aCJo@ZeAHg@LsBBuGDYLULI`A[hAo@t@Y\\QPEFKIy@SyDA{B@w@Dg@TkBTiARm@t@{AL]b@wBFaAAmAWsBm@wBSe@o@y@IQw@cAe@eAOUOCg@Hu@Da@De@AOEIEa@c@I?QJe@Lq@H]JWLK?m@Li@TkB`@UHi@HkAb@cARkDbBUBK?y@]_AU]SCCWaAQSgA}@U[ISg@w@a@mAI]S[UKUCOGw@EaASc@DYE{@g@c@_@}@c@EEu@a@CEQG}A_Ao@]O@OLS`AUr@i@zBUh@i@dBMJIAc@K_@Su@UECQICE_@Sa@i@w@o@uAcBUOUAOHSVK`@AzDGtBGbAGnBg@nGO`AC^Az@Br@GlAMt@Ur@Wn@c@j@e@\\CDCPB|@J~@ADKT@DN@HFDNj@pGJv@Pj@@PENIHsAp@Gh@GJUNOP_AvAY\\s@fAk@r@ENEn@HrD', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038457, 4.584334]","[51.038419, 4.584056]",2.915,3.62,True,153.4,163.0,False,True,10.0,5.2,17158262764,17158262764,garmin_ping_488717130975,False,0,0,False,85.4,359.3,421.0,358.0,True,804.0
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,16013.0,5250,5322,127.0,Run,Run,,16041972407,2025-10-05 12:07:20+00:00,2025-10-05T14:07:20Z,(GMT+01:00) Europe/Brussels,7200.0,,,,15,14,0,1,0,"{'id': 'a16041972407', 'summary_polyline': 'u{_uHo_kZsAkBa@kAk@uC[s@YUa@u@q@iCc@o@mAyCq@mBu@mA_AqBiAwCk@cDUo@G{@yCiH_C{GgBoE{@mCqDcJuBgG_AiCw@eBi@iB}BeG_AsCWe@[gAk@oA[iAwBsFuAcEiCaHmAyDe@eAWcAo@sAc@oA]yAgAeCiBwGe@yB_AuCWoAi@_Bg@qBo@sBYoAyAqFWqAiAyDg@oAW{AQe@{A{B_@YcAkA[e@w@u@sDyE{AyAgA{AuGmHwAkBeBiBUe@w@s@y@eA]WsBoC]EUHMPQh@MJIASQi@MeBw@yAy@{Ag@kEqBmBgAm@Ui@c@sA}BuB}Dy@qAUg@aD_G{AcC}@kB}CiFQQQ@YPs@|@SIQi@?MMe@[w@c@u@oEoEoC_EQc@Ky@F}FWaCeA}Du@qBuBwDa@a@o@]w@CcANa@PWZ[f@W`AMxA?VHlAj@vDFjDMnCs@xFOtBUhH?jBRjJ^tFFhBNfBX~Ah@fBdBjE~@`DbA`Cj@lBxFrOpAdETb@bDxIrAdE\\t@h@nBXf@^nANVbApCPv@h@vDp@xCnAjI`@xANhAZx@`@f@b@zAHbBX\\Hj@HNRTp@XtCHZC@c@S]IWBUCi@WcABWHId@yAj@kArAoAj@y@ZWl@iAPCn@r@b@r@`AdA?Po@jBJf@PXp@f@f@PLNPb@bAn@rAbBl@ZdA~@v@\\^`@t@jAxAz@`@`@f@VrApANAT_@JE|AdAb@LZAd@Sn@k@`@i@\\o@V`@\\@VGpCiDnBaBtAaBjAcAT]xAyAPEPTlBtFx@zCP\\`DrJdAnDlAlDrBvGf@R~DBFJ@^Tx@Dh@BrCLxCAtAG@OLPSDLBrAXhBL|AA`CmACaAQU@IDKR[~@^tAVdB^lE`@`E`AlGZlApA|FRjAVjA`AbCr@lCr@nD@d@Nx@Eh@IjHBbB?xDEz@A`BBnAMbDB^IlC@rBC\\AxB?nAC|@@`EGxBFVRD|EmBhBe@~D{APObCo@rBaAp@OzAm@pGDrDOfCBbAGdG?hICRG@Yg@w@e@e@a@{@a@qCWy@aAoAs@iCoAaCmBaFi@q@i@aAWaAaAgC]{AKy@]mAEe@Kc@}BiGCAAH~BbGl@fCj@dDdAdCZbAjBfD^rAdAdCz@tAr@hCn@x@R^XbBLb@z@n@hArB', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[50.794998, 4.485208]","[50.795006, 4.485438]",3.05,4.54,True,166.0,186.0,False,True,130.4,64.0,17124299627,17124299627,garmin_ping_487609760087,False,11,0,False,85.6,391.0,580.0,396.0,True,2053.0
2,"{'id': 54565248, 'resource_state': 1}",Avondloop,8069.6,2371,2371,4.0,Run,Run,,16000509899,2025-10-01 16:18:48+00:00,2025-10-01T18:18:48Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,13,1,1,0,"{'id': 'a16000509899', 'summary_polyline': 'omovHqo~ZFk@p@{@tAsBNMVc@^c@^k@Da@JINGNCv@c@HHDLRfAFb@J`@NfBB`APzCXdCJl@HlA@`BBl@EhA@rBAZ?pAR`I?XFr@HdDD`DA`CJ`DAl@BdFP~AJr@n@vFLr@d@~D?d@Df@H`@@n@Db@DhBAZ@~@E~Ci@zE_@pCQxB{@rGElAHbCFjAEf@SpAGZWtBa@bCGr@CHW`BSlBIhB?d@EnAA~@Ev@?fAHd@HJJ@r@KfAWR?b@I^Br@KRDb@APDb@APBd@EPDJ?b@KD@r@Kb@M`ASD@z@QF?XMx@gANIz@aA\\g@|@eANU^a@fC_DTSz@aA`CgCf@u@NOZc@TSJGb@EVMLOFAJDFLZzAVn@\\nAd@nAPn@pAtDV~@`DvJLj@tAbEBPEN}@pAYt@oAhBoA`Cq@x@[f@EBc@r@QNYf@KDc@Fw@\\s@PG?ULWDQHYBKAOQQ[KUIKQKWGs@VSNSDUNGAa@XSHIJOj@Cf@Df@Rh@HLXH\\EbAc@fAk@D?JJL@LEHKP{@Di@EwAGy@EQWGc@Be@LEAWLk@L[NYFUPQB_@ZQFk@\\I@QOOWKo@Yu@GK_@]U[c@[IA_@@QDWGI@cB\\}@Hg@NSBi@J_@Pa@Ja@P[HSJUDYJeBXe@LQHYDWLKECSA_@Ee@A_@U{BG_@OuAQkCWaBUkCEuEJgFAc@FgA@}@Dq@p@kFl@mDLiAJk@PwAB_@EuAOwBBc@Z}BBg@\\{BNiBXmBDi@`@wDJwAF{ACs@A}BGgCMeAm@gE_@uDa@gCI_BOeA?c@Fu@@k@ImC?_AAGEGIGe@GEEe@GEEKAWCQIe@GSGg@GQGWEQGs@ISIm@GEBEAMECo@?u@KiCB]E{@AgACa@?uAG}@B_@E}AEi@BgAMyACyCIsE', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038481, 4.585052]","[51.038391, 4.583526]",3.403,5.26,True,173.1,188.0,False,True,8.2,2.2,17082259103,17082259103,garmin_ping_486253810669,False,1,0,False,86.6,422.9,580.0,422.0,True,1002.1
2,"{'id': 54565248, 'resource_state': 1}",Middagloop,30008.0,10392,11110,49.0,Run,Run,,15965291154,2025-09-28 10:32:57+00:00,2025-09-28T12:32:57Z,(GMT+01:00) Europe/Brussels,7200.0,,,,3,20,1,2,0,"{'id': 'a15965291154', 'summary_polyline': '}slxHgj`ScAw@e@mBm@cEw@iCaC}PHy@VUzAGn@k@RzAbANZ`@^JxERtBb@dC?zDn@tDJxDv@`FFfJ~@P]p@QDq@QkDNqFrA}Bl@iCFcBn@{D@aF^uCj@{@KDvBiCbAoBlBsBt@cEXoDH_DAeIm@mFd@y]d@sEbCsKRaDAkGImBRw@rCS~Bl@fVhP|C}@jOsD~FvAtGhCnC^bAv@TSTmBnADp@wAxB|ATEr@{@`C[LJPdAhA|BNK~@wCHbAPZ~EzDfC]zGv@fAw@|CM\\h@ZzCKdGRzCb@~C`@l@n@T`B`B\\J~BmGp@kD`AuAhFcP|@mATeARwEKuBqDgJGq@xTuRE_@FQbHkGjDgGhGsP|@aBzAoBnUuP~DmBrDeAB_@o@yNDiHc@wM?gDiAsDqBsI@oFWsEeCkIQyBiA{H_CuFqBmDaAsCWgC\\eE@iAaAaGy@eCoA{AUi@SiC[_AaAcA[o@a@_Ey@kCSeBq@mC{BwBwAuB}AsCcAyCcA{DsCkNq@eBDc@lA}BdJgLjGmJ|JcQpBgFj@O?}ASoBToGPiWJ}BKsB`Ac@D]k@qBiBiCmB{BaFkEe@iCg@wA_AaHOqBUAk@h@}BvDKp@]r@W@gBeBwAu@gAyAs@M}@qAsCyBy@iAsJcIqBwCgBkBqA]eDwFiAiDeG`AOh@?~@x@zPKZ_B|@sB~CIzA^pCDpAXjAAh@}D~JaEbMi@hAcJrLyQhK_@`AcAbAg@fAqB`B{AdBoB`D{H|NiDjFiDpGgCfDgDzBo@jB]jBgAbCYxCq@pAmDuK}AsAY?oAu@oAuAw|@cxA[OkAtAgGfI{C`F{CzDH|@m@xAXXn@s@xAoCpA_@`@\\jA|B`EpGb@TJfAdFhNdA`D\\`BfElLZnBUzAyB`ByEfCiCzBcNxI_ATyLr@gCGoBb@i@f@[z@MfBsB~ImLf`@cDbFKl@FjAKXi@^uErF`Cf^@tCRfC_@fBXpFOhAy@nAmAv@iJg@q@N[bALdHE~@yAFm@~A_@~Am@EcJgHy@cAqDuT@iGUQOTQdBAzDrAhIhA~HTzCvDbV|@pInF|]HnAObBFp@hCvOjBbNxA~Ov@fM`@fQPdDpAtLpC`RvD~UbDbQlAbFZlClAjG|AxNVpEJxFZzDf@tCjBfNfA~Iz@pId@xBz@|Gz@fEnAtDp@dDh@bApBtAl@KXLFmAEwAc@a@o@|@k@^?`@z@R', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.351835, 3.283722]","[51.351261, 3.283661]",2.888,3.8,True,174.1,186.0,False,True,14.0,1.8,17046516943,17046516943,garmin_ping_485122555534,False,0,0,False,85.4,356.1,529.0,349.0,True,3696.0
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,6017.3,2016,2094,7.0,Run,Run,,15900053409,2025-09-22 15:56:14+00:00,2025-09-22T17:56:14Z,(GMT+01:00) Europe/Brussels,7200.0,,,,4,13,0,1,0,"{'id': 'a15900053409', 'summary_polyline': 'almvHycxZW_CA]CKOOGQMA_@Nw@P]Na@JS@GEi@}@QUMGUAMBOH{@d@MDE?OJE?[NC@GFSb@G\\?XFt@PZTNXB`By@x@YHGTWJYDg@Ce@CUEKUYYKMAKBi@Z]JYPm@TUPWl@Ch@Df@L^RVXFHAd@QZQ\\Kh@YD?VMLODMJg@@O?k@ESM[USYCOBc@R]RSHABw@ZWRUl@Ap@B^L^TTJ@N?VGdCgARMJQJ[DW?WEg@K[IOKIWIWDs@b@IBMHcA^MJSZG`@?x@Jb@PZNDRBXIRKNEj@[v@[NINYLo@@WAg@GU]_@GC[CODw@^WJmAn@Q\\Mn@FbAFRJNVNN@NC`CmAXIJKN[F]Bi@Eg@QYOM[Gi@Ny@b@M@GFQDm@\\KPG^Et@Fd@HRLPVNXEVOlAe@v@_@T[HWFW@WCi@EWIQ]S[AODkAl@w@Z]TINId@Ah@Dj@P`@\\PF@DCH?^U`Bm@NGVUP[F]BYAg@Qk@KMYKQ?_@No@^u@TWL]XOh@AZ@ZBZN^LNNFNBNCNGPM@ETIJAHIZMNKd@QT_@F]F[Cc@Mm@GKOIYEQ@m@ZUJm@\\MFI?ULMLSd@CX@f@Jn@HNVPN@NADCFAzAy@VGLGVOTa@FWB]CM?]Ys@]Ma@HUNOBUNm@R]PG@GDMPOl@Cf@@ZFRL^LJXFN?j@]f@S^SF?NGVOJORi@BY?i@I]GQKMWOQ?]JUNWJOLAAGBUR]LWPU`@EPAp@F^N`@JNNHZGVKFAz@c@`Ac@V[L_@BWAq@EUGQIMMKOEO?o@VgAp@WD]PMLIPGVCXBf@Hb@@@@CBPFFDB@CLH^@XMJIp@U^SNCb@[Ne@FYAy@CQ[g@OGWASLODm@Xw@Xg@\\OXG^Al@Hh@FNVVd@BXKTONETOD?LKVIb@WR_@DOD_AIi@ISSQ[GKBa@Ta@Lw@`@E?ULE?IJU^Gj@Bl@Nh@FJVPJ@XETMl@STMDA^YPEVWFMNgAFMNNJBHAl@SFKJIZDHCLAXHb@AJH@HH|@', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.028011, 4.552457]","[51.028072, 4.552934]",2.985,5.12,True,151.8,177.0,False,True,9.8,6.8,16979744367,16979744367,garmin_ping_483067100202,False,2,0,False,83.0,363.2,702.0,405.0,True,717.5
2,"{'id': 54565248, 'resource_state': 1}",Namiddagloop,16590.7,5590,5654,17.0,Run,Run,,15866574309,2025-09-19 14:31:43+00:00,2025-09-19T16:31:43Z,(GMT+01:00) Europe/Brussels,7200.0,,,,2,12,0,1,0,"{'id': 'a15866574309', 'summary_polyline': 'emovHkj~ZGgA@yAFm@hEeGXWHO@YDI^M|@m@NRt@hEF`DHrAh@tEHjAD|CAlGd@fQFxEDfGCtD@dAlCdTRrDDjFEpAu@zHm@vEu@fFGp@RbFAf@kA~H[lCc@bCK|A?pBKxBAdCFf@h@Dv@UrCSnFH`BUj@YnCg@`AqAnEkFNAj@hDHtAEbAFbA@fD[xA?vEHnAb@nDDx@TvBNJpAm@hCo@JFHRTrBLXH@fBc@hAe@t@M^a@bAgB`@g@bEaHx@qAZ[F]y@{CeAkCqBaHaBsEcAmD_AmC[gAIq@W?c@Zi@BUP}AxB_BdBSJwExFPfBT~@J|AEfAF|EAX]hADfAAtB~@fLNj@R?bAg@bG}AHGLa@Fw@YoDCy@Ga@s@CK]uB?UKQk@YeBCu@BsCKy@_@g@aAS[[MFCXFbFCj@WlABlEz@rKHb@JJJAdAg@nEiAr@Wh@u@fAQz@]HFBNH~CDLN?XWzE{HfCoEJILPn@hB|C~JpElN~@hCv@bDTzARl@`@fBANc@b@w@b@EJBd@Tn@ETk@d@qATe@TyAhByDvDqCdD[v@sCzFe@hAeBlDaHtO_@l@gBr@aAhA{DlB_Bj@yNlGKAEKIoBo@yFCi@Kk@c@oDBYn@Q`@Vh@l@RHXIFWCmAIw@I][sCFMb@GBa@KKg@HKOEYHe@WcAGeAR]r@JNLDRGXDOA[DKNGTRLxBEXQ^]N?b@JJ~@Dl@]j@k@dAUHQU_AA{@BgCC{CHg@DK@OGe@HIn@DZM|@yAvAqAr@c@bB{AJWEeDUgCGkBa@oDeAoG?]X@lBf@JA^s@BQ?W[yBDW~EiCFSHiAb@_A|Bk@zA?p@]tA{BpBkDvDaGEm@g@oAWcAu@oB}BsHmA_DmAiE_@}@_A}CMyCJY|BsC|@cAd@e@dAkAb@FjFjDTDL?r@u@r@g@P_@AMgAwEs@eCo@aEQoK?cBKaDD}E]aFq@cECi@NyBv@qG\\gAf@kAf@wA@SCQKOaBeAiAe@iCi@uAh@_CnBmAz@K@W_@y@_Cs@wA_@yAMuAIOmGzD_G|D[u@UO@y@Ii@Wu@_@c@c@q@m@sAMe@aCbCiFtEo@r@_Ar@Yb@q@j@IQCw@KmGBw@GmAMyEE_C?aIIiAAu@o@sFQuCCaB{@aFOKe@`@i@RMn@aCfDeBvBITCj@FnC', 'resource_state': 2}",False,False,False,False,everyone,False,g20684238,"[51.038437, 4.584221]","[51.03842, 4.584228]",2.968,3.84,True,174.0,192.0,False,True,11.2,4.2,16945279526,16945279526,garmin_ping_482011729556,False,0,0,False,84.2,371.7,479.0,371.0,True,2078.8
